length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
396,0,1,0,0.0654911838790932,0
181,0,0,0,0.01098901098901099,0
758,0,0,0,0.03293807641633729,0
3054,0,0,0,0.018657937806873977,0
1296,0,0,0,0.03546646106399383,0
348,0,0,0,0.0659025787965616,0
988,0,0,0,0.043478260869565216,0
688,0,0,0,0.04354136429608128,0
265,0,0,0,0.03383458646616541,0
604,0,0,0,0.07603305785123966,0
1080,0,0,0,0.036077705827937095,0
589,0,0,0,0.020338983050847456,0
952,0,0,0,0.1080797481636936,0
3285,0,1,0,0.0386488131466829,0
1381,0,0,0,0.05065123010130246,0
151,0,0,0,0.05921052631578947,0
460,0,0,0,0.05422993492407809,0
1014,0,0,0,0.04532019704433497,0
3625,0,2,0,0.03667953667953668,0
598,0,0,0,0.05509181969949917,0
1936,0,0,0,0.04439855446566856,0
7924,0,0,1,0.0734384858044164,0
3623,0,0,0,0.043874172185430466,0
6960,0,0,1,0.030024421778480102,0
916,0,0,0,0.022900763358778626,0
7127,0,0,0,0.016133557800224466,0
2026,0,1,0,0.02713369511593488,0
878,0,0,0,0.030716723549488054,0
1858,0,0,0,0.022592791823561054,0
1635,0,0,0,0.03973105134474328,0
437,0,0,0,0.03881278538812785,0
1838,0,0,0,0.01957585644371941,0
252,0,0,0,0.02766798418972332,0
1175,0,0,0,0.031462585034013606,0
1987,0,3,0,0.026156941649899398,0
749,0,0,0,0.09466666666666666,0
1229,0,0,0,0.022764227642276424,0
343,0,0,0,0.055232558139534885,0
1137,0,0,0,0.028119507908611598,0
1646,0,0,0,0.023679417122040074,0
305,0,1,0,0.05228758169934641,0
122,0,0,0,0.06504065040650407,0
412,0,0,0,0.0387409200968523,0
1318,0,0,0,0.027293404094010616,0
379,0,0,0,0.07368421052631578,0
715,0,1,0,0.03212290502793296,0
2361,0,1,0,0.01989839119390347,0
3089,0,1,0,0.021359223300970873,0
1169,0,0,0,0.07521367521367521,0
3506,0,1,0,0.04932991160536071,0
1419,0,0,0,0.05352112676056338,0
3826,0,1,0,0.04807943558923439,0
562,0,0,0,0.03197158081705151,0
4689,0,1,0,0.05415778251599147,0
383,0,3,0,0.059895833333333336,0
1347,0,0,0,0.02225519287833828,0
4061,0,1,0,0.05711472181191531,0
1621,0,0,0,0.040690505548705305,0
1943,0,0,0,0.041666666666666664,0
1590,0,0,0,0.0295411690760528,0
1282,0,0,0,0.01636788776305534,0
394,0,0,0,0.060759493670886074,0
709,0,0,0,0.10845070422535211,0
562,0,1,0,0.04262877442273535,0
747,0,1,0,0.07754010695187166,0
1236,0,0,0,0.0274858528698464,0
2279,0,0,0,0.017543859649122806,0
672,0,0,0,0.02823179791976226,0
967,0,0,0,0.04338842975206612,0
1211,0,0,0,0.033003300330033,0
2767,0,0,0,0.020953757225433526,0
483,0,0,0,0.03925619834710744,0
145,0,0,0,0.06164383561643835,0
2459,0,0,0,0.025609756097560974,0
1068,0,0,0,0.0411599625818522,0
1196,0,0,0,0.02756892230576441,0
791,0,0,0,0.047979797979797977,0
969,0,0,0,0.021649484536082474,0
784,0,0,0,0.04331210191082802,0
268,0,0,0,0.07434944237918216,0
546,0,0,0,0.04936014625228519,0
513,0,0,0,0.10700389105058365,0
797,0,0,0,0.042606516290726815,0
625,0,0,0,0.03354632587859425,0
1915,0,0,0,0.04123173277661795,0
2980,0,1,0,0.03555853740355586,0
552,0,0,0,0.03616636528028933,0
518,0,0,0,0.036608863198458574,0
2416,0,0,0,0.03475382705833678,0
309,0,0,0,0.041935483870967745,0
1127,0,0,0,0.02925531914893617,0
515,0,0,0,0.027131782945736434,0
3337,0,0,0,0.03654883163571001,0
857,0,0,0,0.045454545454545456,0
195,0,0,0,0.061224489795918366,0
1654,0,0,0,0.021148036253776436,0
5339,0,0,0,0.05318352059925094,0
1925,0,0,2,0.01973001038421599,0
1645,0,0,0,0.024301336573511544,0
787,0,1,1,0.03426395939086294,0
1028,0,0,0,0.047619047619047616,0
1030,0,1,0,0.0979631425800194,0
872,0,0,0,0.10767468499427263,0
1654,0,1,0,0.07190332326283988,0
1221,0,0,2,0.027823240589198037,0
1609,0,0,0,0.07763975155279502,0
634,0,0,0,0.02204724409448819,0
1010,0,0,0,0.025717111770524232,0
995,0,0,0,0.03313253012048193,0
1084,0,0,0,0.03317972350230415,0
5281,0,2,0,0.03786444528587656,0
367,0,0,0,0.05434782608695652,0
1415,0,0,0,0.06073446327683616,0
1170,0,0,0,0.033304867634500426,0
1152,0,0,0,0.05030355594102342,0
739,0,0,0,0.02702702702702703,0
659,0,0,0,0.03333333333333333,0
7936,0,0,0,0.03099407836714124,0
2986,0,10,0,0.02644794107800469,0
1558,0,0,0,0.06670942912123155,0
1987,0,0,0,0.04225352112676056,0
2124,0,0,0,0.03294117647058824,0
1020,0,0,0,0.04897159647404505,0
6580,0,1,3,0.05044826014283543,0
525,0,1,1,0.07984790874524715,0
593,0,0,0,0.050505050505050504,0
1431,0,0,0,0.06773743016759777,0
7934,0,0,0,0.02003780718336484,0
7978,0,0,0,0.03571876174959268,0
1766,0,0,0,0.02942840973401245,0
270,0,0,0,0.07380073800738007,0
427,0,0,0,0.10747663551401869,0
142,0,0,0,0.04195804195804196,0
329,0,0,0,0.045454545454545456,0
2738,0,0,0,0.025191675794085433,0
609,0,0,0,0.040983606557377046,0
1060,0,0,0,0.0527803958529689,0
1251,0,0,0,0.07667731629392971,0
136,0,0,0,0.0364963503649635,0
40076,0,2,0,0.03395962771664546,0
832,0,1,0,0.015606242496998799,0
982,0,1,0,0.017293997965412006,0
1589,0,1,0,0.016352201257861635,0
213,0,1,0,0.102803738317757,0
223,0,1,0,0.04017857142857143,0
503,0,1,0,0.0496031746031746,0
765,0,1,0,0.010443864229765013,0
3169,0,4,0,0.02996845425867508,0
2047,0,0,0,0.01513671875,0
819,0,1,0,0.007317073170731708,0
2042,0,1,0,0.0680372001957905,0
412,0,0,0,0.024213075060532687,0
6305,0,1,0,0.03615604186489058,0
942,0,0,0,0.04665959703075292,0
170,0,0,0,0.07017543859649122,0
2759,0,2,0,0.04601449275362319,0
1612,0,0,0,0.059516429014259145,0
522,0,0,0,0.08986615678776291,0
1626,0,0,0,0.028272894898586354,0
3927,0,0,0,0.0274949083503055,0
3401,0,0,0,0.02880658436213992,0
2606,0,1,0,0.03682393555811277,0
1410,0,0,0,0.05669737774627923,0
1076,0,0,0,0.060352831940575676,0
6332,0,0,0,0.05810832149060477,0
131,0,1,0,0.12878787878787878,0
3739,0,1,0,0.038502673796791446,0
1948,0,1,0,0.03437660338635198,0
713,0,0,0,0.05322128851540616,0
603,0,0,0,0.04304635761589404,0
1200,0,0,0,0.06577851790174855,0
1285,0,0,0,0.04121306376360809,0
687,0,0,0,0.059593023255813955,0
599,0,0,0,0.04833333333333333,0
1778,0,0,0,0.03035413153456998,0
1853,0,0,0,0.012944983818770227,0
446,0,1,0,0.06711409395973154,0
619,0,0,0,0.035483870967741936,0
554,0,0,0,0.07927927927927927,0
549,0,0,0,0.03272727272727273,0
1361,0,0,1,0.05873715124816446,0
318,0,0,0,0.047021943573667714,0
511,0,0,0,0.060546875,0
4383,0,2,1,0.04356751824817518,0
176,0,0,0,0.1016949152542373,0
316,0,1,0,0.03470031545741325,0
332,0,1,0,0.057057057057057055,0
1098,0,0,0,0.020928116469517744,0
1060,0,1,0,0.033930254476908575,0
499,0,0,0,0.08,0
1173,0,1,0,0.04003407155025554,0
3251,0,4,0,0.02029520295202952,0
2503,0,2,0,0.02755591054313099,0
1541,0,3,0,0.028534370946822308,0
662,0,1,0,0.03770739064856712,0
667,0,0,0,0.025449101796407185,0
3629,0,0,0,0.05647382920110193,0
1017,0,0,0,0.0343811394891945,0
1429,0,1,0,0.06433566433566433,0
167,0,0,0,0.13095238095238096,0
1009,0,2,0,0.11089108910891089,0
1298,0,2,0,0.12009237875288684,0
339,0,0,0,0.07647058823529412,0
1298,0,3,0,0.12009237875288684,0
1546,0,3,0,0.14544279250161604,0
836,0,0,0,0.038231780167264036,0
526,0,1,0,0.024667931688804556,0
2834,0,0,0,0.07442680776014109,0
8684,0,47,0,0.036614853195164075,0
704,0,2,0,0.04680851063829787,0
1951,0,0,0,0.036885245901639344,0
844,0,0,0,0.03076923076923077,0
94,0,0,0,0.09473684210526316,0
335,0,0,0,0.07738095238095238,0
596,0,0,0,0.031825795644891124,0
